"","Response","family","link","method","R.squared","AICc","delta","weight","Coeff"
"3467","PRCNT_MARSH","gaussian","identity","none",0.369601893229119,738.38105211925,0,0.247969387255731,"3467"
"34679","PRCNT_MARSH","gaussian","identity","none",0.381373934935774,739.433899356887,1.05284723763725,0.146478942546531,"34679"
"34678","PRCNT_MARSH","gaussian","identity","none",0.374374323618778,740.356500730488,1.97544861123822,0.0923495648290329,"34678"
"23467","PRCNT_MARSH","gaussian","identity","none",0.370797937058515,740.823918660174,2.44286654092434,0.0731031918235022,"23467"
"34567","PRCNT_MARSH","gaussian","identity","none",0.370066597742853,740.919174226054,2.53812210680383,0.0697030619110583,"34567"
"13467","PRCNT_MARSH","gaussian","identity","none",0.369694675350412,740.967574003674,2.58652188442431,0.068036502175356,"13467"
"346789","PRCNT_MARSH","gaussian","identity","none",0.38774543204638,741.257803646529,2.87675152727854,0.0588463339189907,"346789"
"4679","PRCNT_MARSH","gaussian","identity","none",0.323149350397926,741.683781637403,3.30272951815334,0.0475575492564714,"4679"
"467","PRCNT_MARSH","gaussian","identity","none",0.301079836484458,741.855734411375,3.47468229212529,0.0436395632981605,"467"
"234679","PRCNT_MARSH","gaussian","identity","none",0.382093644045076,742.011282102814,3.6302299835636,0.0403741734004377,"234679"
"345679","PRCNT_MARSH","gaussian","identity","none",0.381502439996968,742.08970103212,3.70864891286965,0.0388217572614344,"345679"
"134679","PRCNT_MARSH","gaussian","identity","none",0.381380300774263,742.105892571312,3.72484045206227,0.0385087340508827,"134679"
"46789","PRCNT_MARSH","gaussian","identity","none",0.338586626826973,742.319305849598,3.93825373034815,0.0346112382724113,"46789"
