"","PLOT_CODE","CARELYN"
"15-001-B-1-1","15-001-B-1-1",167
"15-001-B-1-10","15-001-B-1-10",NA
"15-001-B-1-11","15-001-B-1-11",NA
"15-001-B-1-12","15-001-B-1-12",NA
"15-001-B-1-2","15-001-B-1-2",NA
"15-001-B-1-3","15-001-B-1-3",NA
"15-001-B-1-4","15-001-B-1-4",NA
"15-001-B-1-5","15-001-B-1-5",162
"15-001-B-1-6","15-001-B-1-6",NA
"15-001-B-1-7","15-001-B-1-7",NA
"15-001-B-1-8","15-001-B-1-8",NA
"15-001-B-1-9","15-001-B-1-9",191
"15-001-B-2-1","15-001-B-2-1",34
"15-001-B-2-2","15-001-B-2-2",48
"15-001-B-2-3","15-001-B-2-3",54
"15-001-B-2-4","15-001-B-2-4",65
"15-001-B-2-5","15-001-B-2-5",85
"15-001-B-2-6","15-001-B-2-6",83
"15-001-B-2-7","15-001-B-2-7",66
"15-001-B-3-1","15-001-B-3-1",32
"15-001-B-3-2","15-001-B-3-2",32
"15-001-B-3-3","15-001-B-3-3",NA
"15-001-B-3-4","15-001-B-3-4",NA
"15-001-B-3-5","15-001-B-3-5",NA
"15-001-B-3-6","15-001-B-3-6",NA
"15-001-B-3-7","15-001-B-3-7",NA
