"","CARELYN","IRISPSE","LYTHSAL","PHALARU","TYPHANG","TYPHGLA","SITE"
"1",0,0,0,0,0,0,"00-001"
"2",1,0,0.05,0.1,0.15,0.15,"02-011"
"3",0,0,0,0,0,0,"02-012"
"4",1,0,0.0909090909090909,0.0909090909090909,0,0,"02-013"
"5",0,0,1,0,0,0,"02-015"
"6",0.615384615384615,0.307692307692308,0.230769230769231,0.384615384615385,0,0.0769230769230769,"03-001A"
"7",0.2,0.2,0.2,0,0,0,"03-001B"
"8",0.727272727272727,0.363636363636364,0.454545454545455,0.363636363636364,0,0,"04-003"
"9",0.210526315789474,0,0.105263157894737,0.105263157894737,0.421052631578947,0.736842105263158,"05-002"
"10",0.636363636363636,0,0,0.181818181818182,0,0,"08-004A"
"11",0.125,0,0,0,0,0,"08-004B"
"12",0,0,0,0,0,0,"08-005A"
"13",0,0,0,0.1,0,0,"08-005B"
"14",0,0,0,0,0,0,"08-008A"
"15",0,0,0,0,0,0,"08-008B"
"16",0,0,0,0,0,0,"08-008C"
"17",0,0,0,0,0,0,"08-008D"
"18",0.75,0,0,0,0,0,"08-009A"
"19",0.285714285714286,0,0,0,0,0,"08-009B"
"20",0.1,0.2,0.2,0.55,0.35,0.3,"09-003"
"21",0.285714285714286,0,0.428571428571429,0.642857142857143,0.285714285714286,0.0714285714285714,"09-006"
"22",0.105263157894737,0,0,0,0,0,"09-016"
"23",0.684210526315789,0,0.526315789473684,0.368421052631579,0,0,"09-020"
"24",0.65,0.25,0.5,0.6,0,0,"11-001"
"25",0.857142857142857,0.642857142857143,0.857142857142857,0.571428571428571,0,0,"11-009"
"26",1,0,1,0,0,0,"11-014"
"27",0.8,0,0.4,1,0,0,"12-003"
"28",0.0416666666666667,0.333333333333333,0.666666666666667,0.125,0.0416666666666667,0.0833333333333333,"13-002"
"29",0.333333333333333,0.0833333333333333,0.916666666666667,0.833333333333333,0,0,"13-003"
"30",0,0,0,0,0,0,"13-016"
"31",0.1,0,0.7,0.8,0,0,"14-001"
"32",0.782608695652174,0.0434782608695652,0.0869565217391304,0.304347826086957,0,0,"Alex_Fraser_North"
"33",0.125,0,0.75,0.5,0,0,"Eburne_Slough"
"34",0,0.1,0.55,0.2,0,1,"Frenchies"
"35",1,0,0.142857142857143,0.0714285714285714,0.0714285714285714,0,"Glenrose_Downstream"
"36",0.666666666666667,0,0.19047619047619,0.476190476190476,0,0,"Glenrose_Upstream"
"37",0.733333333333333,0.0666666666666667,0.533333333333333,0.4,0,0,"Gunderson_Slough"
"38",0,0.25,0.5,1,0,0,"REF-01"
"39",0.35,0,0.2,0.7,0.05,0.05,"REF-03"
"40",0,0.15,0.75,0.75,0,0,"REF-04"
"41",0.1,0.35,0.8,0,0,0,"REF-05"
"42",0.6,0.1,0.45,0.4,0,0,"REF-07"
"43",0.5,0.166666666666667,0.5,0.5,0,0,"REF-09"
"44",0.65,0.1,0.5,0.5,0,0,"REF-11"
"45",0.9,0.2,0.4,0.35,0.05,0,"REF-13"
"46",1,0,0.05,0,0,0,"REF-14"
"47",0.5,0.111111111111111,0.166666666666667,0,0.222222222222222,0,"REF-17"
"48",0.65,0,0,0.25,0,0,"REF-20"
"49",0,0,0,0,0,0,"REF-21"
